Set #1	STEDT # 	Taoping	Taoping_gloss	Longxi	Longxi_gloss	Mianchi_form	Mianchi_gloss	Yonghe	Yonghe_gloss	Wadu	Wadu_gloss	Niuwozi	Niuwozi_gloss	Dayang	Dayang_gloss	Taoba	Taoba_gloss	Qinghua	Qinghua_gloss	Lanping	Lanping_gloss	Jiulong	Jiulong_gloss	Tangut form	Tangut_tone	Tangut_rhyme	Tangut_logograph	Tangut_number	pre-Tangut	Tangut_gloss	NOTE
125	#1409	ȵi³¹ kie³³ bu²⁴¹	deaf	ȵì bò	deaf	bù	deaf	ȵí kwì bù	deaf	da bõ̌	deaf	bõᴿ	deaf			zɐ³⁵ bõ³⁵	deaf	sdə¹³ bõ¹³	deaf	zdə¹³ bõ¹³	deaf	zɑ¹¹ bũ⁵⁵	deaf	ba	1	17	��	1391	*mbaˠŋ		
51	#2465	mu³³	dark	ɦà-mù	dark	mò	dark																	mur  	1	75	��	3925	*r-m-	darkness	
112	#5658	tsʰu⁵⁵ ta⁵⁵	dance, jump	tsʰó tà	dance, jump	soú	dance, jump	sú tɛ̀	dance, jump	tsʰú	dance, jump	tsʰoᶠ	dance, jump			dʑɛ³⁵ tsʰo³⁵	dance, jump	tsʰa⁵⁵ tsʰo⁵⁵	dance, jump	xə¹³ tsʰo⁵⁵	dance, jump	tɕɯ⁵⁵ tsʰə⁵⁵	dance, jump	tsu	2	1	��	3788		stand up, rise, jump	
177	#3569	ly³³	come	lò	come	ȵù	come			ʑə̌	come	ʒɨᴿ	come			ju³⁵	come	i¹³	come	ʒə³⁵	come	li³⁵	come	lja	1	20	��	3456			
94	#5656	χde³³	cloud³⁷	dá mù	cloud³⁷	dá mò	cloud³⁷	dá	cloud³⁷			dĩᴴ	cloud³⁷	zdĩ́	cloud³⁷			sdĩ⁵⁵	cloud³⁷	zdĩ⁵⁵	cloud³⁷	dẽ³⁵	cloud³⁷	djɨj ̣ 	2	55	��	2738	*s-ndim		
170		dʐe³³	clear (of water)																	dʐuɛ̃¹³ si⁵⁵	clear (of water)			gjii	1	14	��	1598	*ŋgje	clear, clean	
9	#2763	tsʰuɑ⁵⁵	chop	tsʰuá dà	chop	tsʰoú tià	chop	tsʰwɑ́ tɛ̀	chop									tʰə¹³ stʃɑ⁵⁵	chop	tʰə¹³ ʃtʃɑ⁵⁵	chop			NA	NA	NA	NA	NA	NA	NA	
162		ʐɑ³³ pu³³	cave (mountain)					ɦɑ̀ pú	cave													ʐə¹¹ pu⁵⁵	cave	rar	1	80	��	1093		mountain	
22		ma³¹ ȵy⁵⁵	cat	má{ȵú} mé{ȵòu}	cat			mæ̀ ȵwí	cat			mɜᴸ tsɨᴿ	cat			mɐ³⁵ tsə⁵⁵	cat	mɐ¹³ tsə⁵⁵	cat			mu¹¹ ȵi⁵⁵	cat	NA	NA	NA	NA	NA	NA	NA	
56		tʰɑ³¹ bɑ³³	buttocks	tʰà bá	vulva																			tʰwɨ 	1	69	�� 	5518	*S-tʰu	vagina	
185	#1787	bʐe³³	break (v.i., of rope)	bà	break (v.i., of rope)	pʰɚ̌	break (v.i., of rope)							bʐɛ̌	snap (v.i.)	tə³⁵ bʐɛ³⁵	break (v.i., of rope)	tʰə¹³ pʐɛ¹³	break (v.i., of rope)					bja	2	17	��	4459	*mbjak		
161	#0232	ʐɑ³¹ kie³³	bone	ɹà ká	bone	ʐæ̀ ʁoù	bone	ɦàʴ kjɛ́	bone	ɹà qá	bone	ɹɜᴸ kɑᴴ	bone	rɑ́ qɑ̌	bone	rɛ³⁵ ka⁵³	bone	ʐɑ⁵⁵ qɑ¹³	bone	ʐɑ⁵⁵ qɑ¹³	bone	ʐɑ¹¹ qɑ⁵⁵	bone	rjɨr	1	86	��	2778	*rjvt		typo? TB in a.
2	#0075	pʰə³³	blow	phú	blow															pʰu⁵⁵ py⁵⁵	blow			NA	NA	NA	NA	NA	NA	NA	
154	#0230	sa³³	blood	sà	blood	sà	blood	sɑ̌	blood	sɛ̌j	blood	sɜjᴿ	blood	sǎ	blood	se³⁵	blood	sa¹³	blood	sa¹³	blood	sɛi³⁵	blood	sjij	1	36	��	2734	*sjej		
158	#2483	ȵi⁵⁵ ȵi³¹	black	ȵí ~ ȵì	black	nə̀	black	ȵǐ	black	njæ̌	black	njɑᴿ	black	ȵɑ̌N	black	ȵɛ³⁵ mə⁵³	black	ȵɑ³⁵	black	ȵɑ³⁵	black			njaa	1	21	��	176	*njaak		
168	#0229	qʰa⁵⁵	bitter⁵⁶	qʰà	bitter⁵⁶	qʰà	bitter⁵⁶	kʰɑ́ ~ qʰɑ́	bitter⁵⁶	qʰæ̌	bitter⁵⁶	kʰaᴿ	bitter⁵⁶	qʰɑ̌	bitter⁵⁶	kʰa³⁵ mə⁵³	bitter⁵⁶	qʰɑ¹³	bitter⁵⁶	qʰɑ¹³	bitter⁵⁶	qʰɑ⁵⁵	bitter⁵⁶	kʰie	1	9	��	4046	*[krv]		
126	#2187	bə³¹ dʑy³³	bee⁴⁷	bù-iù	bee⁴⁷	bù-ʑoú	bee⁴⁷	bù ʐú	bee⁴⁷	bʉ HL	bee⁴⁷	bɨᶠ	bee⁴⁷	bɨ́	bee⁴⁷					bʒɛ¹³ tʃə⁵⁵	bee⁴⁷	bi³⁵ lĩ⁵⁵	bee⁴⁷	bowr	1	81	��	2462	*rmb-		
8	#0370	tsʰuə⁵⁵ χmə³³	beard					tsʰə́ mù	beard							a³⁵ sõ⁵³	beard	a¹³ stiɑ̃u⁵⁵	beard			a³³ sũ⁵⁵	beard	NA	NA	NA	NA	NA	NA	NA	
42		χpa⁵⁵	be thirsty	tsù tə̀-pià	water directional-thirst	pià	be thirsty	tə̀-pǽ ~ tə̀-ɸǽ	be thirsty															pạ 	2	56	��	4532	*C-S-pja		
114	#1011	dʐe³³	be long	dʐé	be long	dʐé	be long	dʐí	be long	ɻǽŋ	be long			ʂã́	be long	ʂã⁵⁵ mə⁵³	be long	ʂã⁵⁵	be long	ʂã⁵⁵	be long	ʂã⁵⁵	be long	zjir	2	72	��	2858			
27		χgye³³	answer, reply (v.)	guà	answer, reply (v.)															tə¹³ gui³⁵ ski⁵⁵	answer, reply (v.)			NA	NA	NA	NA	NA	NA	NA	
5						kú~kù	harvest/reap	ɦɛ̀ kwɛ́	harvest/reap											xə¹³ kɯ⁵⁵	harvest/reap	kɯ⁵⁵ ʐe⁵⁵	harvest/reap	NA	NA	NA	NA	NA	NA	NA	
6				qù quá	fight/go to war	dʐuɛ̀ quá	fight/go to war	dʑɛ̀ quá												qo⁵⁵ qua⁵⁵	fight/go to war			NA	NA	NA	NA	NA	NA	NA	
7				tsɨ́	life															tsi⁵⁵	lifespan	tsi³⁵	life	NA	NA	NA	NA	NA	NA	NA	
11				tɕʰí	stab	tsʰoú	stab													tsʰu⁵⁵~xə¹³ tɕʰu⁵⁵	stab			NA	NA	NA	NA	NA	NA	NA	
12						tʂʰuá	rinse/flush													tʃʰõ⁵⁵	rinse/flush			NA	NA	NA	NA	NA	NA	NA	
13								dʑí	direction	dʑí	direction													NA	NA	NA	NA	NA	NA	NA	
14	#2745			ɕó	clear/clean	ɕó té	clear/clean			ʂṍ	clear/clean	ʂõᴴ	clear/clean			ʂã⁵⁵ n̥iɛ⁵⁵ mə⁵³	clear/clean	ʂõ⁵⁵ ne⁵⁵	clear/clean			ʂã⁵⁵	clear/clean	NA	NA	NA	NA	NA	NA	NA	
17								ɦæ̀ -ʑwǽ	obstruct	ɐ̀ - ʐwĩ́	obstruct									kʰə¹³ ʐa⁵⁵	obstruct	xa¹¹ ʐo⁵⁵	obstruct	NA	NA	NA	NA	NA	NA	NA	
18	#2221					ʑé	delicious	ʑí	delicious	ʐṍ	delicious	ʒĩᴴ				ʐẽ⁵⁵ mə⁵³	delicious	ʐə̃⁵⁵ ti¹³	delicious	ʒẽ⁵⁵ ti⁵⁵	delicious	ʑĩ³⁵	delicious	NA	NA	NA	NA	NA	NA	NA	
19						ʐɛ́	soup							rã̌	soup	rɛ̃⁵⁵	soup	ʂɑ¹³ ʐã⁵⁵	soup	ʂɑ¹³ ʐã⁵⁵	soup			NA	NA	NA	NA	NA	NA	NA	
21				mù lé	warm self by fire											ma³⁵ liã⁵⁵	warm self by fire	mɐ¹³ lɛ̃⁵⁵	warm self by fire	mɐ¹³ lɛ̃⁵⁵	warm self by fire	ma³⁵ ɬə̃⁵⁵	warm self by fire	NA	NA	NA	NA	NA	NA	NA	
24				tò	plow (n.)	tò kè	plow (n.)	tù kwǽ	plow (n.)											tɑ̃u⁵⁵	plow (n.)	tũ³⁵	plow (n.)	NA	NA	NA	NA	NA	NA	NA	
25	#2252			ỳ kʰù	owl	kuì tòŋ kʰò	owl	mǽ kʰwì	owl													kʰɑ̃³⁵		NA	NA	NA	NA	NA	NA	NA	
26				gò	stone					gʉ̀ ɖóŋ	stone	gʉᴸ bõᴴ	stone					sgø¹³	stone	zgø¹³	stone	guo¹¹ lũ⁵⁵	stone	NA	NA	NA	NA	NA	NA	NA	
29				què	bundle	quà	bundle															(tə⁵⁵) qã¹¹	bunch/bundle	NA	NA	NA	NA	NA	NA	NA	
37				ì	give birth	ʑì	give birth			ʑì	give birth													NA	NA	NA	NA	NA	NA	NA	
39	#0671			dà zì	snow, hail (v.)			pɔ̌-ʐɨ̀ lwìlwí	hail (lit. snow-hail + round)							ʑẽ³⁵	hail (n.)					zẽ³⁵	hail (n.)	NA	NA	NA	NA	NA	NA	NA	
40	#1716			hà há pù	yawn	χà pú	yawn			hɑ̀ ɕə̀	yawn											xɑ¹¹ xe¹¹	yawn	NA	NA	NA	NA	NA	NA	NA	
41				sɨ̀ pí	priest	pí	priest	ɕwì pí	shìbi															pjạ	2	57	��	3280	*[S-pj-]	sorcerer	
43								kʰəʴ́~qʰə́ʴ	rice (raw)															kʰie 	2	8	��	5868	*kʰe		
44				tsʰú tá	cough			tə̀-tsʰú	cough															tsụ	2	51	��	4615	*S-tso		
45				tɕʰý	enclose (sheep)	kʰuí	enclose (sheep)	tɕʰwí	enclose															kʰwa 	2	14	��	2758			
46				sú	live²¹																			sjwụ  	2	52	�� also written 0487 �� 	2048	*S-sjo		
47								mǽ kʰwì	owl															mej 	2	30	��	2656			
53				mì	feed, raise	mù	feed, raise	mǐ	feed, raise															mji 	1	11	��	4542	*mej		
54				qò mì	wound (n.)																			mjạ 	1	64	��	5628	*S-mjat	wound, scar	
58				gù	solid, durable																			gjwɨ 	1	30	��	2472	*ŋgut		
60	#3333			suà kà	tail²⁵	suà kè	tail²⁵	sù kjɛ́	tail²⁵															sji 	1	11	�� 	4095	*[swa]		
62				lə̀	vapor	lè	vapor																	lwew 	1	43	��	3299			
64										pú H	wide/broad			ɸpə́w	wide/broad	po⁵⁵ mə⁵³	wide/broad	spo⁵⁵	wide/broad	fpo⁵⁵	wide/broad	po⁵⁵	wide/broad	wạ 	2	56	��	3310	*[S-pv]	vast, wide, extensive²⁶	
65										pɑ̌	leaf	sɜᴸ pɑᴴ	leaf			pa³⁵	leaf	sɐ¹³ fpɑ⁵⁵	leaf	sɐ¹³	leaf	pɑ⁵⁵	leaf	bạ 	2	56	��	4567	*S-mbak		
66	#5646											pʰʴəᴴ	untie			tʰə³⁵ pʰʐə⁵³	untie²⁷ 	tʰə¹³ pʰʐɯ⁵⁵	untie²⁷ 					pʰie 	2	8	��	5390	*pʰre		
67	#5556																					nə¹¹ pʰə⁵⁵, nɑ¹¹ pʰɑ⁵⁵	throw out	pʰə 	2	25	��	2719		throw, abandon	
68										bʉ́	sun	bɨᴴ	sun			bʉ⁵³	sun	by⁵⁵	sun	by⁵⁵	sun	bi³⁵	sun	be 	2	20	��	2449	*mbe		
69	#5713									bǽ	duck	baᴴ	duck²⁹			ba³⁵	duck²⁹							bə 	2	25	��	3301	*[mbv]	mandarin duck	
70												tʰuᴴ	sheep, male; ram											tʰu 	2	1	��	5716			
71										qǔ	blind	kuᴴ	blind											ku 	2	4	��	328			
72	#2531									ní	red, unripe, green, blue	niᴴ	green, blue³⁰			ȵi⁵⁵ na⁵⁵ mə⁵³	green, blue³⁰							ŋwər 	2	76	��	654	*rŋwv	dark green	
73																				ʒɑ̃u⁵⁵ li⁵⁵	lamb, kid	ji⁵⁵ tsɿ⁵⁵	lamb, kid	ljij 	2	55	��	5987		lamb, kid	
74										pʰɑ̌	half	pʰɑᴿ	half			pʰa³⁵	half			pʰa⁵⁵ tɕi¹³	half			pʰa 	1	17	��	3936	*pʰak		
75																		pʰɑ¹³ lɑ⁵⁵		pʰɑ¹³ lɑ⁵⁵	butterfly			pjạ 	1	20	��	538	*S-pja		
76										bǐŋ	fly	bjɛ̃ᴿ	fly											dźjow 	1	56	��	2262	*mbjvm		
77										m̥ə̀	blow	m̥uᴿ	blow	m̥ə̃̌	blow	xə³⁵ m̥ə³⁵	blow			kʰə¹³ m̥ə¹³	blow	to³⁵	blow	məə  	1	31	��	2128	*mvvt		
78	#3560													{mə́} ɬyé	tail	mɐ̃³⁵ ɬio⁵³	tail	mɐ¹³ ɬiɛ⁵⁵	tail	mɐ¹³ ɬiɛ⁵⁵	tail	mã³⁵	tail	mjiij 	1	39	��	5677	*mjeej		
79																xə³⁵ tui³⁵	choke							tjwi 	1	11	��	4016			
80																tɕyi³⁵	shoe	tsyi¹³	shoe	tsyi¹³	shoe	tsui³⁵	shoe	zjị 	1	67	��	1321	*C-S-tsja		
81	#0418													tɐ-tsɛ̌j / tsǎ	joint					tsi⁵⁵	joint	tsɛi³⁵	joint	tswer 	1	87	��	4739	*r-tsvk		typo in doc: DY twice
82	#3586											ʈʂʰeᴿ	feed³²							tʰə¹³ stʃʰɛ¹³	feed³²			tjị 	1	67	��	4582	*[S-trv]		
83	#3604											dzõᴿ	bridge			dzã³⁵	bridge	dziɑ̃u¹³	bridge	dziɑ̃u¹³	bridge	dzã³⁵	bridge	dzow 	1	54	��	2584	*ndzvm		
84										lɛ̀j	heavy													ljɨɨ 	1	32	��	2737			
85	#3560									lɛ̌j	seed					le³⁵	seed	la⁵⁵	seed	la⁵⁵	seed	lɛi³⁵	seed	ljwi 	1	11	��	5819			
86	#0392											l̥oᴿ	forehead	ɬǒ	forehead³³	ɬo³⁵	forehead³³	ɬo¹³	forehead³³	ɬo¹³	forehead³³			ljạ 	1	64	��	791	*S-lja		
87												l̥iᴿ	shepherd (v.)			ɬi³⁵	graze (v.t.)							lʰew 	1	43	��	993	*lʰvk		
88										ɻǐ	obtain	riᴿ	obtain											rjir 	1	79	��	1599			
89	#0231									qʰwɑ̌	bowl	kʰwɑᴿ	bowl			kʰua³⁵	bowl	kʰuɑ¹³	bowl	kʰuɑ¹³	bowl			kʰu 	1	4	��	4189	*kʰo		
90						pá pù	pretend, feign	ɸɑʴ́ ~ fɑ́ʴ	pretend³⁴	pʉ́	to do	pɑᶠ	to do											wjị 	2	60	��	1498	*C-S-pja		
96				qá tsʰé	separate, sever	kiè ká	separate, sever													xə¹³ kʰe⁵⁵	separate (v.)	kʰə¹¹ kʰe⁵⁵ nə¹¹ ʃi¹¹	separate (v.)	kar 	2	73	��	4480	*r-kat		
98				qí pù	cuckoo	koú pù	cuckoo			qí pù	cuckoo									qei⁵⁵ pu¹³	cuckoo	kɯ¹¹ pu⁵⁵	cuckoo	ɣjiw 	2	40	��	2208			
101								tswɛ́	be sour	ʈʂú	be sour	ʈʂuᴴ	be sour	tʃú	be sour									tśʰjwɨr 	2	77	��	2739			
106	#5577							ʑì lwí	wait											xə¹³ liõ⁵⁵ ku⁵⁵	wait			ljiij 	2	35	��	5522	*ljaaŋ		
116						bʐě	snake⁴⁴			bʉ ɻɛȷ́	snake⁴⁴					bɐ³⁵	snake⁴⁴	bɐ¹³ ʐɑ⁵⁵	snake⁴⁴	bɐ¹³ ʐɑ⁵⁵	snake⁴⁴	bu¹¹ ʐɛi⁵⁵	snake⁴⁴	pʰio	2	43	��	80			no tone for 2nd syllable in LP?
117	#6028			ió	sheep	ioú	sheep			ʐṍ	sheep	ʐõᴴ	sheep	zʒoṹ	sheep	ʐã⁵⁵	sheep	ʒɑ̃u⁵⁵	sheep	ʒɑ̃u⁵⁵	sheep	ʒõ³⁵	sheep	.jij	2	33	��	3452	*jaŋ		
120	#1293			pù	pus	pù	pus							ɸpɨ̌	pus			spy¹³	pus	fpy¹³	pus	pu⁵⁵	pus	pə	1	68	��	5274	*S-pu		typo? DY NWZ? is it NWZ or DY form?
122				pʰà	splash/sprinkle	(tsuɛ̀) pʰɛ̀	splash/sprinkle													pʂɛ¹³	splash/sprinkle	pʐɛ̃⁵⁵	splash/sprinkle	pʰər	1	84	��	4652	*[prv]		
128	#0676			tuà liò	hammer (n.)	tuà liò	hammer (n.)			tɑ̌	to hammer⁴⁹					xə³⁵ ta³⁵	to hammer⁴⁹	xə¹³ stɑ¹³	to hammer⁴⁹					ta	1	17	��	5299			
129				ȵò	drill, auger																	ȵ̩ĩ¹¹ by³⁵	drill (v.)	nu	1	1	��	4909		drill, bore	
130				tʰiò	trip hammer for hulling rice⁵⁰									ʃtʃǐ	trip hammer for hulling rice⁵⁰					ʃtʃi¹³	trip hammer for hulling rice⁵⁰			tsowr	1	91	��	868	*[r-Cv]		
131																															
132																															
133																															
134																															
135																															
136																															
137																															
138																															
139																															
140																															
141																															
142																															
143																															
144																															
145																															
146																															
147																															
148																															
149																															
151				tsù	small	tsù ~ tsú	small	tsə̌	small	qʰɐ tsɛ̌j	small	kɜᴸ tsɜjᴿ	small			ka³⁵ tse³⁵ mə⁵³	small	qa¹³ tsɛ³⁵	small	qa¹³ tsɛ¹³	small			tsəj	1		��	3798	*tsij		
153	#0042			tsʰɨ̀	fat (of humans)					tsʰə̀	fat					tsʰə³⁵	fat	tsʰɤ¹³	fat	tsʰɤ¹³	fat	tsʰɿ³⁵	fat	tsʰwu	1		��	984	*tsʰo		
156				sò,	hemp⁵²			sǔ	hemp⁵²	sǔ	hemp⁵²			sɑ̌w	hemp⁵²					sɑu¹³	hemp⁵²	so³⁵	hemp⁵²	se	1	8	��	2456			
159						nə̀	snivel					n̥̥ɑ̃ᴿ	snivel	n̥æ̃̌	snot									nạ	1	63	��	5731	*S-nap		
171	#0096			ɹà,	write⁵⁷	ɕà	write⁵⁷			ɖʉ̌	write⁵⁷	dʐʉᴿ	write⁵⁷											rjar	1	82	��	1715	*rjat		
172				zɨ̀ ʑé	circle⁵⁸											rua⁵⁵ mə⁵³	circle⁵⁸	ʐuɐ¹³ ʐuɐ¹³	circle⁵⁸	ʐuɐ¹³ ʐuɐ¹³	circle⁵⁸	ʐu¹¹ ʐuə⁵⁵	circle⁵⁸	ror	2	80	��	2757			
174				zà	sticky	pià dzà	sticky									dzu³⁵ mə⁵³	thick, sticky	dzy¹³	thick, sticky	dʑa¹³ ti⁵⁵	sticky, glutinous	dzu³⁵	thick, sticky	dzə̣	1	68	��	3650	*[S-ndzv]		
175	#5438							dʐə̌	melt	ɖʐæ̌	melt													dźji	1	10	��	3956	*ndrje		
176	#1248			lià qə̀	penis	lià qɛ̀	penis	lǐ	penis					lɒ̀ dɒ̌	testicle									leej	1	37	��	5106			
178				lò	return to a place															xə¹³ lo¹³	return			lja	1	20	��	3502		return, transport	
187	#0017			mó	corpse⁶³	mó	corpse⁶³	mì múʴ	corpse⁶³	mǔ	corpse⁶³	muᴿ	corpse⁶³							ȵi⁵⁵ mu⁵⁵	corpse⁶³	mi³⁵ mũ⁵⁵	corpse⁶³	mjij	1	39	��	2192	*mjaaŋ		
196	#0127			(ɦà) mà zè	sleep⁶⁸	mɛ̀ ʑɛ̀ -qɛ̀ tuá	nod off			ʑə̌	sleep⁶⁸					kʰə³⁵ ʑi³⁵	sleep⁶⁸	nə¹³ ʒə¹³	sleep⁶⁸	nə¹³ ʒə¹³	sleep⁶⁸	kʰɯ¹¹ ʑɯ⁵⁵	sleep⁶⁸	.jɨ	2	42	��	5136	*jvp		
202	#2550			pià	hide self																			wa	2	14	��	1360	*C-pak		
203	#2772											pɨᶠ	axe⁷⁰	ɸpɨ́	axe⁷⁰					fpy⁵⁵	axe⁷⁰	pi⁵⁵	axe⁷⁰	.wjị	1	67	��	5203	*C-S-pja		
204				ɹà lì	lower seat (not honored)	ʐí lè	lower seat (not honored)																	lu	2	1	��	3819			
205																															
																															
																															
